source_name	model_name	data_name	cstartegy_details	flops_decrease_ratio	score_increase_ratio
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P1, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.009
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.010
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P3, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.010
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P1, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.002
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.004
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P3, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.005
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.7, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.7	0.001
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.6, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.6	0.003
C5	MobileNet-V1	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.4	0.006
C5	MobileNet-V2	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.2, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.3	0.008
C5	Resnet-56	cifar100	[prune_C5, {HP1: 0.05, HP2: 0.5, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.5	-0.001
C5	Resnet-110	cifar100	[prune_C5, {HP1: 0.05, HP2: 0.5, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.5	0.001
C5	MobileNet-V2	imagenet	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	0.44	-0.057
C7	VGG-16	cifar10	[prune_C7, {HP1: 0.5, HP2: 0.8, HP16: 1, HP17: CE}]	0.8	-0.002
C7	Densenet-40	cifar10	[prune_C7, {HP1: 0.5, HP2: 0.7, HP16: 1, HP17: CE}]	None	-0.001
C7	Resnet-56	cifar10	[prune_C7, {HP1: 0.5, HP2: 0.8, HP16: 1, HP17: CE}]	0.5	-0.003
